Model,Domain,Accuracy (%),Avg Output Tokens,Correct,Total
mimo-v2.5-pro-thinking,Coding,75.0,14569,45,60
mimo-v2.5-pro-thinking,Science,60.0,30384,24,40
sonnet-4.6,Math,46.0,13973,46,100
sonnet-4.6,Coding,88.3,12471,53,60
sonnet-4.6,Science,45.0,27366,18,40
glm-5.1,Math,58.0,68272,58,100
glm-5.1,Coding,70.0,58157,42,60
glm-5.1,Science,67.5,40290,27,40
gemini-3-flash-preview,Math,33.0,1076,33,100
gemini-3-flash-preview,Coding,55.0,2088,33,60
gemini-3-flash-preview,Science,57.5,2343,23,40
opus-4.5,Math,32.0,1146,32,100
opus-4.5,Coding,53.3,1092,32,60
opus-4.5,Science,60.0,837,24,40
glm-5,Math,62.0,64033,62,100
glm-5,Coding,66.7,22470,40,60
glm-5,Science,42.5,32263,17,40
gemini-2.5-pro,Math,47.0,28468,47,100
gemini-2.5-pro,Coding,53.3,10963,32,60
gemini-2.5-pro,Science,70.0,14463,28,40
qwen3.5-122b-a10b,Math,44.0,33166,44,100
qwen3.5-122b-a10b,Coding,68.3,13874,41,60
qwen3.5-122b-a10b,Science,55.0,14045,22,40
gemma-4-31b-it,Math,34.0,3681,34,100
gemma-4-31b-it,Coding,51.7,4374,31,60
gemma-4-31b-it,Science,45.0,3118,18,40
qwen3.6-27b,Math,54.0,70673,54,100
qwen3.6-27b,Coding,46.7,51678,28,60
qwen3.6-27b,Science,55.0,22443,22,40
qwen3.5-35b-a3b,Math,45.0,72916,45,100
qwen3.5-35b-a3b,Coding,41.7,13769,25,60
qwen3.5-35b-a3b,Science,55.0,13878,22,40
qwen3.6-35b-a3b,Math,50.0,65808,50,100
qwen3.6-35b-a3b,Coding,40.0,47195,24,60
qwen3.6-35b-a3b,Science,52.5,52959,21,40
gemini-2.5-flash,Math,34.0,50727,34,100
gemini-2.5-flash,Coding,63.3,16640,38,60
gemini-2.5-flash,Science,37.5,28161,15,40
sonnet-4.5,Math,13.0,1084,13,100
sonnet-4.5,Coding,51.7,1258,31,60
sonnet-4.5,Science,35.0,840,14,40
glm-5.2-off,Math,13.0,3009,13,100
glm-5.2-off,Coding,40.0,1014,24,60
glm-5.2-off,Science,50.0,1404,20,40
qwen-235b,Math,24.0,9174,24,100
qwen-235b,Coding,38.3,1858,23,60
qwen-235b,Science,40.0,7165,16,40
gpt-5.5,Math,15.0,431,15,100
gpt-5.5,Coding,38.3,141,23,60
gpt-5.5,Science,35.0,9,14,40
minimax-m2.5,Math,39.0,67849,39,100
minimax-m2.5,Coding,41.7,66984,25,60
minimax-m2.5,Science,62.5,16824,25,40
gemini-3.1-flash-lite,Math,20.0,2358,20,100
gemini-3.1-flash-lite,Coding,33.3,966,20,60
gemini-3.1-flash-lite,Science,32.5,2525,13,40
deepseek-v4-pro-none,Math,16.0,1343,16,100
deepseek-v4-pro-none,Coding,26.7,2335,16,60
deepseek-v4-pro-none,Science,45.0,442,18,40
mimo-v2.5-thinking,Math,31.0,26379,31,100
mimo-v2.5-thinking,Coding,40.0,20284,24,60
mimo-v2.5-thinking,Science,40.0,17922,16,40
gpt-5.4,Math,17.0,1209,17,100
gpt-5.4,Coding,20.0,122,12,60
gpt-5.4,Science,45.0,241,18,40
deepseek-v4-flash-none,Math,15.0,2194,15,100
deepseek-v4-flash-none,Coding,15.0,656,9,60
deepseek-v4-flash-none,Science,42.5,10259,17,40
qwen3.5-9b,Math,9.0,200282,9,100
qwen3.5-9b,Coding,23.3,48894,14,60
qwen3.5-9b,Science,50.0,37287,20,40
